file name,author,genre,last_date_read,cover
House of Leaves by Mark Z. Danielewski,Mark Z. Danielewski,"fiction, horror, literary, mystery, thriller, challenging, dark, mysterious, slow-paced, fiction, horror, literary, mystery, thriller, challenging, dark, mysterious, slow-paced",2016/03,https://cdn.thestorygraph.com/9z38zn9f3keyzuibgvy5kw3g3a9v
The Goldfinch by Donna Tartt,Donna Tartt,"fiction, contemporary, literary, dark, emotional, reflective, slow-paced, fiction, contemporary, literary, dark, emotional, reflective, slow-paced",2015/05,https://cdn.thestorygraph.com/hj14xzdfp676z4fj14fiec07gx68
"1984 by Xavier Coste, George Orwell","Xavier Coste, George Orwell","fiction, classics, dystopian, literary, science fiction, dark, reflective, tense, medium-paced, fiction, classics, dystopian, literary, science fiction, dark, reflective, tense, medium-paced",,https://cdn.thestorygraph.com/7x78qsgxzpcc21sl4dkl5y7ujkbs
A Brief History of Time by Stephen Hawking,Stephen Hawking,"nonfiction, science, challenging, informative, slow-paced, nonfiction, science, challenging, informative, slow-paced",,https://cdn.thestorygraph.com/uvr1qcvadq06ctjyiaflywlk51pk
Cosmos by Carl Sagan,Carl Sagan,"nonfiction, science, informative, inspiring, reflective, medium-paced, nonfiction, science, informative, inspiring, reflective, medium-paced",,https://cdn.thestorygraph.com/symn9ukf30204x3r0kvd65bv0t0o
Dune by Frank Herbert,Frank Herbert,"fiction, classics, science fiction, adventurous, challenging, slow-paced, fiction, classics, science fiction, adventurous, challenging, slow-paced",,https://cdn.thestorygraph.com/a9hosoy68ofn96let3w9szkd80cu
Harry Potter and the Deathly Hallows by J.K. Rowling,J.K. Rowling,"fiction, fantasy, middle grade, adventurous, dark, emotional, medium-paced, fiction, fantasy, middle grade, adventurous, dark, emotional, medium-paced",,https://cdn.thestorygraph.com/ed1d8psgcops24uy0v79vli9q25u
Harry Potter and the Sorcerer's Stone by J.K. Rowling,"J.K. Rowling, Mary GrandPré","fiction, fantasy, middle grade, adventurous, lighthearted, fast-paced, fiction, fantasy, middle grade, adventurous, lighthearted, fast-paced",,https://cdn.thestorygraph.com/8g4rrzfk770do7r22fiiakkc1teq
"Maus Un survivant raconte. I, Mon père saigne l'histoire by Art Spiegelman","Art Spiegelman, Judith Ertel","nonfiction, graphic novel, history, memoir, dark, emotional, sad, medium-paced, nonfiction, graphic novel, history, memoir, dark, emotional, sad, medium-paced",,https://cdn.thestorygraph.com/vnjpitpgdyyio7p032wkhkdcuo17
Red Dragon by Thomas Harris,Thomas Harris,"fiction, crime, horror, thriller, dark, mysterious, tense, medium-paced, fiction, crime, horror, thriller, dark, mysterious, tense, medium-paced",,https://cdn.thestorygraph.com/1mwj72a3oq8vnmxbytwgq1cqja4s
"Surely You're Joking, Mr. Feynman! Adventures of a Curious Character by Richard P. Feynman","Richard P. Feynman, Bill Gates, Ralph Leighton","nonfiction, memoir, science, informative, lighthearted, medium-paced, nonfiction, memoir, science, informative, lighthearted, medium-paced",,https://cdn.thestorygraph.com/l904lqbbeupo5viq8au9ygtrkhgm
The Fellowship of the Ring  by J.R.R. Tolkien,J.R.R. Tolkien,"fiction, classics, fantasy, adventurous, slow-paced, fiction, classics, fantasy, adventurous, slow-paced",,https://cdn.thestorygraph.com/rx1dmyvy0os3pg3k5toj7c94u7fr
"The Grand Design by Stephen Hawking, Leonard Mlodinow","Stephen Hawking, Leonard Mlodinow","nonfiction, science, informative, medium-paced, nonfiction, science, informative, medium-paced",,https://cdn.thestorygraph.com/el5nw3vao56nnry96q7m9tfbatwo
The Haunting of Hill House  by Shirley Jackson,Shirley Jackson,"fiction, classics, horror, literary, dark, mysterious, tense, medium-paced, fiction, classics, horror, literary, dark, mysterious, tense, medium-paced",,https://cdn.thestorygraph.com/6mufo1vbkgh9trvyxlbqlb5xegvf
The Hobbit by J.R.R. Tolkien,"J.R.R. Tolkien, David Wyatt","fiction, classics, fantasy, middle grade, adventurous, lighthearted, medium-paced, fiction, classics, fantasy, middle grade, adventurous, lighthearted, medium-paced",,https://cdn.thestorygraph.com/698b125ubcbp3eux9dlycwrgsqru
The Hunger Games by Suzanne Collins,Suzanne Collins,"fiction, dystopian, young adult, adventurous, dark, tense, fast-paced, fiction, dystopian, young adult, adventurous, dark, tense, fast-paced",,https://cdn.thestorygraph.com/6pk3dpd53d443efwjur8nopu4v5y
The Lightning Thief by Rick Riordan,Rick Riordan,"fiction, fantasy, middle grade, adventurous, funny, lighthearted, fast-paced, fiction, fantasy, middle grade, adventurous, funny, lighthearted, fast-paced",,https://cdn.thestorygraph.com/u9evr6dp2yi5ezterxhyizh616vr
"The Lion, the Witch and the Wardrobe by C.S. Lewis","C.S. Lewis, Michael Hague","fiction, childrens, classics, fantasy, middle grade, adventurous, lighthearted, fast-paced, fiction, childrens, classics, fantasy, middle grade, adventurous, lighthearted, fast-paced",,https://cdn.thestorygraph.com/hzohpojk6st0nbeoymwjtyd1rypa
The Lord of the Rings by J.R.R. Tolkien,J.R.R. Tolkien,"fiction, classics, fantasy, adventurous, emotional, hopeful, slow-paced, fiction, classics, fantasy, adventurous, emotional, hopeful, slow-paced",,https://cdn.thestorygraph.com/urhm6a8v5j0xhy7bf4jt99ygrb40
The Secret of Secrets by Dan Brown,Dan Brown,"fiction, mystery, thriller, adventurous, mysterious, tense, medium-paced, fiction, mystery, thriller, adventurous, mysterious, tense, medium-paced",,https://cdn.thestorygraph.com/ne5k20bn3jbmq0zbovp2iwrjn928
Through the Woods by E.M. Carroll,E.M. Carroll,"fiction, graphic novel, horror, short stories, dark, mysterious, tense, fast-paced, fiction, graphic novel, horror, short stories, dark, mysterious, tense, fast-paced",,https://cdn.thestorygraph.com/a0k1enk1o8eydl6e4uarn1k7aa8k
